,REGN
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.42618938350925506
Growth 1yr High Est,-0.3924603174603174
Growth 1yr Consensus Est,-0.40932485048478623
Growth 2yr Low Est,-0.31240154326089253
Growth 2yr High Est,-0.15627805770686232
Growth 2yr Consensus Est,-0.23433980048387743
Growth 5yr Low Est,0.2434175622219412
Growth 5yr High Est,0.2975833176783326
Growth 5yr Consensus Est,0.27050043995013695
Growth 5yr Actual/Est,0.2929349956303767
Growth 3yr Historic,0.40359343267579456
