,REGN
% Below High,0.0287
% Held by Institutions,0.8785
52-Wk Range,['538.01 - 769.63']
Annual Dividend $,
Annual Dividend %,
Ask,747.85
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.2
Bid,746.9
Bid Size,200.0
Day Change $,11.34
Day Change %,0.0154
Day High,750.99
Day Low,736.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",47.4
Ex-dividend Date,No dividend
Historical Volatility,0.334
Last (size),100.0
Last (time),12:24p ET 11/28/22
Market Cap,81.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.53
Prev Close,736.23
Price,747.57
Shares Outstanding,108.9M
Short Interest,0.0169
Today's Open,740.0
Volume Past Day,(Below Average)
