,CRDO
Price/Earnings (TTM),
Price/Sales (TTM),14.75053
Price/Book (MRQ),6.12145
Price/Cash Flow (TTM),
5yr Low,8.61
5yr High,18.0
5yr Avg Return,0.19010000000000002
Short Int Current Month,9112662.0
Short Int Prev Month,10918251.0
Short Int Pct of Float,0.08749520000000001
Days to Cover,10.31899
Float,104.0655
Shares Outstanding,145.682
Institutions Holding Shares,127.0
% Held by Institutions,0.463967
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
