,CRDO
% Below High,0.2
% Held by Institutions,0.46399999999999997
52-Wk Range,['8.61 - 18.00']
Annual Dividend $,
Annual Dividend %,
Ask,15.55
Ask Size,8100.0
B/A Ratio,0.19753086419753085
B/A Size,1600x8100
Beta,
Bid,12.26
Bid Size,1600.0
Closing Price,14.4
Day Change $,-0.08
Day Change %,-0.0055000000000000005
Day High,14.66
Day Low,14.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.07
Ex-dividend Date,No dividend
Historical Volatility,0.703
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.48
Shares Outstanding,145.7M
Short Interest,0.0875
Today's Open,14.46
Volume,150950.0
Volume 10-day Avg,845244.0
Volume Past Day,(Light)
