,AMG
% Below High,0.1124
% Held by Institutions,0.9768000000000001
52-Wk Range,['108.12 - 176.75']
Annual Dividend $,0.04
Annual Dividend %,0.0003
Ask,188.15
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.3
Bid,62.88
Bid Size,200.0
Closing Price,156.88
Day Change $,0.14
Day Change %,0.0009
Day High,157.4
Day Low,155.02
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",12.14
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.414
Last (size),458.0
Last (time),5:00p ET 11/25/22
Market Cap,5.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.92
Prev Close,156.74
Shares Outstanding,37.7M
Short Interest,0.013600000000000001
Today's Open,155.65
Volume,98346.0
Volume 10-day Avg,309947.0
Volume Past Day,(Light)
