,AMG
Price/Earnings (TTM),12.92035
Price/Sales (TTM),2.38112
Price/Book (MRQ),2.14376
Price/Cash Flow (TTM),6.52042
5yr Low,44.37
5yr High,217.0
5yr Avg Return,0.028649999999999988
EPS Growth 5yr,0.0806852
Revenue Growth 5yr,0.0191047
Dividend Growth 5yr,
Short Int Current Month,504859.0
Short Int Prev Month,691092.0
Short Int Pct of Float,0.013557999999999999
Days to Cover,1.27956
Float,37.25248
Shares Outstanding,37.66863
Institutions Holding Shares,428.0
% Held by Institutions,0.976798
FCF Growth 5yr,0.7464632774086045
