,CCO
% Above Low,0.1578
% Held by Institutions,0.9655
52-Wk Range,['0.9069 - 4.10']
Annual Dividend $,
Annual Dividend %,
Ask,1.15
Ask Size,1500.0
B/A Ratio,0.3333333333333333
B/A Size,500x1500
Beta,2.3
Bid,1.0
Bid Size,500.0
Closing Price,1.05
Day Change $,-0.04
Day Change %,-0.036699999999999997
Day High,1.1
Day Low,1.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.28
Ex-dividend Date,No dividend
Historical Volatility,0.878
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,504.6M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,1.09
Shares Outstanding,476.1M
Short Interest,0.07139999999999999
Today's Open,1.09
Volume,498989.0
Volume 10-day Avg,2106103.0
Volume Past Day,(Light)
