,CCO
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.5436893203883495
Growth 1yr High Est,-0.5844155844155845
Growth 1yr Consensus Est,-0.564052452401967
Growth 2yr Low Est,-0.18673827721545122
Growth 2yr High Est,-0.8547077922077922
Growth 2yr Consensus Est,-0.5207230347116217
Growth 5yr Low Est,-0.09336913860772561
Growth 5yr High Est,-0.4273538961038961
Growth 5yr Consensus Est,-0.26036151735581087
Growth 5yr Actual/Est,-0.23173582600195505
Growth 3yr Historic,0.04111363636363635
