,CCO
Price/Earnings (TTM),
Price/Sales (TTM),0.19929
Price/Book (MRQ),
Price/Cash Flow (TTM),3.53967
5yr Low,0.3625
5yr High,6.38
5yr Avg Return,-0.054766666666666665
EPS Growth 5yr,
Revenue Growth 5yr,-0.0351234
Dividend Growth 5yr,
Short Int Current Month,33444752.0
Short Int Prev Month,34499334.0
Short Int Pct of Float,0.07136289999999999
Days to Cover,12.87073
Float,468.5619
Shares Outstanding,476.0554
Institutions Holding Shares,223.0
% Held by Institutions,0.96548
FCF Growth 5yr,-3.167367186343178
