,SCCO
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.37292161520190015
Growth 1yr High Est,-0.10647181628392477
Growth 1yr Consensus Est,-0.23969671574291246
Growth 2yr Low Est,-0.35312747426761676
Growth 2yr High Est,0.030876241390747905
Growth 2yr Consensus Est,-0.16112561643843443
Growth 5yr Low Est,0.21963786359686976
Growth 5yr High Est,0.28750145416024797
Growth 5yr Consensus Est,0.2535696588785589
Growth 5yr Actual/Est,0.2108451071703664
Growth 3yr Historic,0.30496331075533656
