,SCCO
Price/Earnings (TTM),17.69264
Price/Sales (TTM),4.52185
Price/Book (MRQ),6.00657
Price/Cash Flow (TTM),13.43059
5yr Low,23.43
5yr High,83.29
5yr Avg Return,0.08816666666666668
EPS Growth 5yr,0.3435365
Revenue Growth 5yr,0.1524004
Dividend Growth 5yr,0.7781791
Short Int Current Month,7246910.0
Short Int Prev Month,6540288.0
Short Int Pct of Float,0.08503809999999999
Days to Cover,3.74052
Float,85.21959
Shares Outstanding,773.0984
Institutions Holding Shares,582.0
% Held by Institutions,0.069909
FCF Growth 5yr,-0.05481046030135572
