,SCCO
% Above Low,0.3579
% Held by Institutions,0.0699
52-Wk Range,['42.42 - 79.32']
Annual Dividend $,2.0
Annual Dividend %,0.034
Ask,57.64
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,57.58
Bid Size,300.0
Day Change $,-1.19
Day Change %,-0.0202
Day High,58.71
Day Low,57.45
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",3.32
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.394
Last (size),100.0
Last (time),1:46p ET 11/28/22
Market Cap,44.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.69
Prev Close,58.79
Price,57.6
Shares Outstanding,773.1M
Short Interest,0.085
Today's Open,58.47
Volume Past Day,(Light)
