,TECH
Price/Earnings (TTM),47.4833
Price/Sales (TTM),11.90297
Price/Book (MRQ),7.59414
Price/Cash Flow (TTM),34.38735
5yr Low,125.84
5yr High,543.85
5yr Avg Return,0.22316666666666665
EPS Growth 5yr,0.26712230000000003
Revenue Growth 5yr,0.1445042
Dividend Growth 5yr,0.0
Short Int Current Month,761122.0
Short Int Prev Month,695541.0
Short Int Pct of Float,0.019549300000000002
Days to Cover,1.62878
Float,38.93709
Shares Outstanding,39.24238
Institutions Holding Shares,751.0
% Held by Institutions,0.9674679999999999
FCF Growth 5yr,0.022611719855581153
