,TECH
% Above Low,0.2147
% Held by Institutions,0.9675
52-Wk Range,['272.01 - 522.96']
Annual Dividend $,1.28
Annual Dividend %,0.0038
Ask,330.4
Ask Size,100.0
Ask close,353.04
B/A Ratio,4.0
B/A Size,400x100
Beta,1.3
Bid,301.6
Bid Size,400.0
Bid close,310.11
Change Since Close,0.00| |(0.00%)
Closing Price,330.4
Day Change $,-8.57
Day Change %,-0.0253
Day High,340.09
Day Low,328.85
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",7.14
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.408
Last (size),246.0
Last (time),4:00p ET 11/28/22
Last Trade,330.4
Market Cap,13.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.48
Prev Close,338.97
Shares Outstanding,39.2M
Short Interest,0.0195
Today's Open,337.9
Volume,255702.0
Volume 10-day Avg,257307.0
Volume Past Day,(Average)
