,HZO
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.203125
Growth 1yr High Est,0.2595419847328244
Growth 1yr Consensus Est,0.2313334923664122
Growth 2yr Low Est,-0.03480113636363641
Growth 2yr High Est,0.1540134166088365
Growth 2yr Consensus Est,0.05960614012260004
Growth 5yr Low Est,-0.023200757575757607
Growth 5yr High Est,0.10267561107255767
Growth 5yr Consensus Est,0.03973742674840003
Growth 5yr Actual/Est,0.26604487101758634
Growth 3yr Historic,0.3215727371526161
