,HZO
% Above Low,0.1887
% Held by Institutions,0.9676
52-Wk Range,['27.40 - 61.06']
Annual Dividend $,
Annual Dividend %,
Ask,39.0
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,1.6
Bid,30.26
Bid Size,100.0
Closing Price,32.57
Day Change $,0.5
Day Change %,0.015600000000000001
Day High,32.75
Day Low,31.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.85
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,701.4M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.68
Prev Close,32.07
Shares Outstanding,21.7M
Short Interest,0.1297
Today's Open,31.86
Volume,117124.0
Volume 10-day Avg,301872.0
Volume Past Day,(Light)
