,EVH
Price/Earnings (TTM),
Price/Sales (TTM),2.29228
Price/Book (MRQ),3.21041
Price/Cash Flow (TTM),47.95443
5yr Low,3.5
5yr High,39.78
5yr Avg Return,0.25756666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.2899772
Dividend Growth 5yr,
Short Int Current Month,7161116.0
Short Int Prev Month,6410417.0
Short Int Pct of Float,0.0769349
Days to Cover,3.87301
Float,93.06669
Shares Outstanding,101.191
Institutions Holding Shares,323.0
% Held by Institutions,0.9280970000000001
FCF Growth 5yr,-1.830924647283408
