,EVH
% Above Low,0.2917
% Held by Institutions,0.9281
52-Wk Range,['21.36 - 39.78']
Annual Dividend $,
Annual Dividend %,
Ask,30.1
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.6
Bid,21.04
Bid Size,200.0
Closing Price,27.59
Day Change $,-0.09
Day Change %,-0.0033
Day High,27.71
Day Low,27.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.05
Ex-dividend Date,No dividend
Historical Volatility,0.53
Last (size),39.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,27.68
Shares Outstanding,101.2M
Short Interest,0.07690000000000001
Today's Open,27.26
Volume,367585.0
Volume 10-day Avg,1421940.0
Volume Past Day,(Light)
