,EVH
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-1.7532467532467533
Growth 1yr High Est,-3.1538461538461537
Growth 1yr Consensus Est,-2.4535464535464535
Growth 2yr Low Est,-1.0748992386923422
Growth 2yr High Est,-1.7662087912087912
Growth 2yr Consensus Est,-1.4205540149505667
Growth 5yr Low Est,-0.5374496193461711
Growth 5yr High Est,-0.8831043956043956
Growth 5yr Consensus Est,-0.7102770074752833
Growth 5yr Actual/Est,10.605425824175823
Growth 3yr Historic,-0.45089285714285715
