,NSTG
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.25193798449612403
Growth 1yr High Est,0.15102040816326512
Growth 1yr Consensus Est,0.20147919632969458
Growth 2yr Low Est,0.04082967336261312
Growth 2yr High Est,-0.1514401505282965
Growth 2yr Consensus Est,-0.0553052385828417
Growth 5yr Low Est,-0.007502439980480132
Growth 5yr High Est,-0.12611733305660014
Growth 5yr Consensus Est,-0.06680988651854014
Growth 5yr Actual/Est,0.2974387228959764
Growth 3yr Historic,0.32263493208318306
