,NSTG
Price/Earnings (TTM),
Price/Sales (TTM),2.17555
Price/Book (MRQ),3.54846
Price/Cash Flow (TTM),
5yr Low,4.37
5yr High,86.42
5yr Avg Return,0.3186833333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.109002
Dividend Growth 5yr,
Short Int Current Month,2725421.0
Short Int Prev Month,4396845.0
Short Int Pct of Float,0.0589359
Days to Cover,1.10646
Float,46.24378
Shares Outstanding,46.64681
Institutions Holding Shares,234.0
% Held by Institutions,1.0759269999999999
FCF Growth 5yr,0.33815400422694025
