,NSTG
% Above Low,0.4439
% Held by Institutions,1.0759
52-Wk Range,['4.37 - 43.81']
Annual Dividend $,
Annual Dividend %,
Ask,9.6
Ask Size,100.0
Ask close,7.76
B/A Ratio,2.0
B/A Size,200x100
Beta,1.6
Bid,5.86
Bid Size,200.0
Bid close,4.91
Change Since Close,0.31| |(4.91%)
Closing Price,6.31
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.13
Ex-dividend Date,No dividend
Historical Volatility,1.035
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,6.62
Market Cap,294.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.31
Shares Outstanding,46.6M
Short Interest,0.058899999999999994
Today's Open,
Volume,11.0
Volume 10-day Avg,1258418.0
Volume Past Day,(Light)
