,SIG
% Above Low,0.3036
% Held by Institutions,1.0329000000000002
52-Wk Range,['48.31 - 107.00']
Annual Dividend $,0.8
Annual Dividend %,0.0124
Ask,62.97
Ask Size,200.0
B/A Ratio,4.5
B/A Size,900x200
Beta,2.2
Bid,62.82
Bid Size,900.0
Day Change $,-1.45
Day Change %,-0.0225
Day High,64.17
Day Low,62.62
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",6.64
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.643
Last (size),15.0
Last (time),2:18p ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.7
Prev Close,64.42
Price,62.97
Shares Outstanding,46.2M
Short Interest,0.1143
Today's Open,63.15
Volume Past Day,(Light)
