,SIG
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.1382252559726963
Growth 1yr High Est,-0.06796116504854366
Growth 1yr Consensus Est,-0.10309321051061998
Growth 2yr Low Est,-0.23198391511506106
Growth 2yr High Est,-0.0235639158576052
Growth 2yr Consensus Est,-0.12777391548633313
Growth 5yr Low Est,-0.23198391511506106
Growth 5yr High Est,-0.0235639158576052
Growth 5yr Consensus Est,-0.12777391548633313
Growth 5yr Actual/Est,1.0405877426022232
Growth 3yr Historic,1.0909299115649582
