,SIG
Price/Earnings (TTM),9.69642
Price/Sales (TTM),0.3751
Price/Book (MRQ),2.17575
Price/Cash Flow (TTM),5.01621
5yr Low,5.6
5yr High,111.92
5yr Avg Return,0.2542
EPS Growth 5yr,0.1100122
Revenue Growth 5yr,0.040777900000000006
Dividend Growth 5yr,-0.1848069
Short Int Current Month,5133524.0
Short Int Prev Month,5567502.0
Short Int Pct of Float,0.1142661
Days to Cover,7.54833
Float,45.14016
Shares Outstanding,46.24535
Institutions Holding Shares,349.0
% Held by Institutions,1.032948
FCF Growth 5yr,0.1884580978467368
