,CVGW
Price/Earnings (TTM),
Price/Sales (TTM),0.52734
Price/Book (MRQ),2.86593
Price/Cash Flow (TTM),370.6601
5yr Low,28.76
5yr High,108.0
5yr Avg Return,-0.08923333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.0244563
Dividend Growth 5yr,0.07528
Short Int Current Month,421275.0
Short Int Prev Month,525560.0
Short Int Pct of Float,0.0246688
Days to Cover,6.29032
Float,17.07527
Shares Outstanding,17.73166
Institutions Holding Shares,228.0
% Held by Institutions,0.7413259999999999
FCF Growth 5yr,16.709133662575418
