,AGEN
% Below High,0.2238
% Held by Institutions,0.5708
52-Wk Range,['1.25 - 3.62']
Annual Dividend $,
Annual Dividend %,
Ask,2.92
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,1.3
Bid,2.81
Bid Size,1000.0
Closing Price,2.81
Day Change $,-0.19
Day Change %,-0.0633
Day High,2.97
Day Low,2.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.8
Ex-dividend Date,No dividend
Historical Volatility,0.8200000000000001
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,856.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.0
Shares Outstanding,304.8M
Short Interest,0.08789999999999999
Today's Open,2.96
Volume,2461283.0
Volume 10-day Avg,6392549.0
Volume Past Day,(Light)
