,AGEN
Price/Earnings (TTM),
Price/Sales (TTM),8.85081
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,1.25
5yr High,6.79
5yr Avg Return,-0.004166666666666676
EPS Growth 5yr,
Revenue Growth 5yr,0.6727883
Dividend Growth 5yr,
Short Int Current Month,22501794.0
Short Int Prev Month,18990050.0
Short Int Pct of Float,0.0879472
Days to Cover,3.48645
Float,244.0779
Shares Outstanding,283.1629
Institutions Holding Shares,201.0
% Held by Institutions,0.5708030000000001
FCF Growth 5yr,0.9653050321300641
