,OEC
Price/Earnings (TTM),12.16708
Price/Sales (TTM),0.58723
Price/Book (MRQ),2.67436
Price/Cash Flow (TTM),5.64581
5yr Low,5.93
5yr High,36.55
5yr Avg Return,-0.03376666666666667
EPS Growth 5yr,0.2191499
Revenue Growth 5yr,0.0630549
Dividend Growth 5yr,
Short Int Current Month,1549988.0
Short Int Prev Month,1808282.0
Short Int Pct of Float,0.0260669
Days to Cover,2.04277
Float,59.46196
Shares Outstanding,60.81559
Institutions Holding Shares,213.0
% Held by Institutions,0.9518949999999999
FCF Growth 5yr,
