,OEC
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,1.0555555555555558
Growth 1yr High Est,0.7272727272727271
Growth 1yr Consensus Est,0.8914141414141414
Growth 2yr Low Est,0.662912912912913
Growth 2yr High Est,0.6267942583732057
Growth 2yr Consensus Est,0.6448535856430593
Growth 5yr Low Est,0.21002788502788508
Growth 5yr High Est,0.20967372493128372
Growth 5yr Consensus Est,0.20985080497958442
Growth 5yr Actual/Est,0.16168550132722287
Growth 3yr Historic,0.054902817770464796
