,OEC
% Below High,0.0819
% Held by Institutions,0.9519
52-Wk Range,['12.87 - 20.63']
Annual Dividend $,0.0828
Annual Dividend %,0.0044
Ask,19.81
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,1.7
Bid,13.64
Bid Size,100.0
Closing Price,18.94
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-10 00:00:00
"EPS (TTM, GAAP)",1.56
Ex-dividend,2022-12-30 00:00:00
Ex-dividend Date,12/30/22
Historical Volatility,0.455
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.17
Prev Close,18.94
Shares Outstanding,60.8M
Short Interest,0.026099999999999998
Today's Open,
Volume,102345.0
Volume 10-day Avg,405121.0
Volume Past Day,(Light)
