,ORCL
Price/Earnings (TTM),39.29953
Price/Sales (TTM),5.05066
Price/Book (MRQ),
Price/Cash Flow (TTM),23.13797
5yr Low,39.71
5yr High,106.34
5yr Avg Return,0.10296666666666666
EPS Growth 5yr,0.0146934
Revenue Growth 5yr,0.02347
Dividend Growth 5yr,0.1128323
Short Int Current Month,16921721.0
Short Int Prev Month,16347657.0
Short Int Pct of Float,0.0109671
Days to Cover,2.251
Float,1542.95
Shares Outstanding,2696.166
Institutions Holding Shares,2652.0
% Held by Institutions,0.41424500000000003
FCF Growth 5yr,-2.9672603328065215
