,GLW
Price/Earnings (TTM),15.94124
Price/Sales (TTM),1.99593
Price/Book (MRQ),2.48855
Price/Cash Flow (TTM),8.58135
5yr Low,17.44
5yr High,46.82
5yr Avg Return,0.012450000000000003
EPS Growth 5yr,-0.1691966
Revenue Growth 5yr,0.0844256
Dividend Growth 5yr,0.12195510000000001
Short Int Current Month,10445012.0
Short Int Prev Month,12507265.0
Short Int Pct of Float,0.013687499999999998
Days to Cover,2.4953
Float,763.2839
Shares Outstanding,845.8114
Institutions Holding Shares,1401.0
% Held by Institutions,0.675864
FCF Growth 5yr,0.7335476217477656
