,PRCH
% Above Low,1.0372
% Held by Institutions,0.7277
52-Wk Range,['0.94 - 22.21']
Annual Dividend $,
Annual Dividend %,
Ask,1.92
Ask Size,800.0
B/A Ratio,0.75
B/A Size,600x800
Beta,
Bid,1.91
Bid Size,600.0
Day Change $,-0.115
Day Change %,-0.0567
Day High,2.18
Day Low,1.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.42
Ex-dividend Date,No dividend
Historical Volatility,1.2570000000000001
Last (size),50.0
Last (time),11:24a ET 11/28/22
Market Cap,192.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.03
Price,1.92
Shares Outstanding,100.6M
Short Interest,0.1438
Today's Open,2.01
Volume Past Day,(Below Average)
