,PRCH
Price/Earnings (TTM),
Price/Sales (TTM),0.78426
Price/Book (MRQ),1.77054
Price/Cash Flow (TTM),
5yr Low,0.94
5yr High,27.5
5yr Avg Return,-0.11776666666666666
Short Int Current Month,11771925.0
Short Int Prev Month,12033457.0
Short Int Pct of Float,0.1437588
Days to Cover,4.28798
Float,82.21165
Shares Outstanding,100.5545
Institutions Holding Shares,173.0
% Held by Institutions,0.7277039999999999
FCF Growth 5yr,0.22328257845589702
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
