,MEDP
Price/Earnings (TTM),33.43116
Price/Sales (TTM),4.92842
Price/Book (MRQ),19.35934
Price/Cash Flow (TTM),27.24379
5yr Low,31.7
5yr High,235.72
5yr Avg Return,0.38535
EPS Growth 5yr,0.6716417
Revenue Growth 5yr,0.22063400000000002
Dividend Growth 5yr,
Short Int Current Month,1597605.0
Short Int Prev Month,1958836.0
Short Int Pct of Float,0.0672302
Days to Cover,4.30052
Float,23.76122
Shares Outstanding,31.0999
Institutions Holding Shares,466.0
% Held by Institutions,0.841473
FCF Growth 5yr,0.7649264209720877
