,MEDP
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.47033898305084754
Growth 1yr High Est,0.4675052410901468
Growth 1yr Consensus Est,0.46892211207049717
Growth 2yr Low Est,0.27047208518536603
Growth 2yr High Est,0.302324049116502
Growth 2yr Consensus Est,0.286398067150934
Growth 5yr Low Est,0.272024377319162
Growth 5yr High Est,0.28923947477458484
Growth 5yr Consensus Est,0.28063192604687337
Growth 5yr Actual/Est,0.2719923532258704
Growth 3yr Historic,0.1310318363686534
