,MEDP
% Below High,0.076
% Held by Institutions,0.8415
52-Wk Range,['126.95 - 235.72']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
Ask close,269.5
B/A Ratio,
B/A Size,--
Beta,1.5
Bid,
Bid Size,
Bid close,167.82
Change Since Close,-0.49| |(-0.22%)
Closing Price,217.81
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.52
Ex-dividend Date,No dividend
Historical Volatility,0.599
Last (size),19.0
Last (time),1:00p ET 11/25/22
Last Trade,217.32
Market Cap,6.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",33.43
Prev Close,217.81
Shares Outstanding,31.1M
Short Interest,0.0672
Today's Open,
Volume,20.0
Volume 10-day Avg,243075.0
Volume Past Day,(Light)
