,COUR
Price/Earnings (TTM),
Price/Sales (TTM),4.06207
Price/Book (MRQ),2.84248
Price/Cash Flow (TTM),
5yr Low,9.81
5yr High,62.53
5yr Avg Return,-0.40700000000000003
Short Int Current Month,3704229.0
Short Int Prev Month,4649977.0
Short Int Pct of Float,0.028742999999999998
Days to Cover,4.33215
Float,129.0436
Shares Outstanding,146.5804
Institutions Holding Shares,236.0
% Held by Institutions,0.772992
FCF Growth 5yr,0.7924865831842576
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
