,COUR
% Above Low,0.40270000000000006
% Held by Institutions,0.773
52-Wk Range,['9.81 - 30.99']
Annual Dividend $,
Annual Dividend %,
Ask,17.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,9.64
Bid Size,100.0
Closing Price,13.76
Day Change $,0.19
Day Change %,0.013999999999999999
Day High,13.82
Day Low,13.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.19
Ex-dividend Date,No dividend
Historical Volatility,0.603
Last (size),54.0
Last (time),5:00p ET 11/25/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,13.57
Shares Outstanding,146.6M
Short Interest,0.0287
Today's Open,13.55
Volume,284187.0
Volume 10-day Avg,726278.0
Volume Past Day,(Light)
