,CLH
% Below High,0.009000000000000001
% Held by Institutions,0.9126000000000001
52-Wk Range,['81.56 - 124.49']
Annual Dividend $,
Annual Dividend %,
Ask,196.83
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,117.1
Bid Size,200.0
Closing Price,123.37
Day Change $,0.75
Day Change %,0.0060999999999999995
Day High,123.37
Day Low,122.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.94
Ex-dividend Date,No dividend
Historical Volatility,0.349
Last (size),40.0
Last (time),5:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",17.78
Prev Close,122.62
Shares Outstanding,54.1M
Short Interest,0.013600000000000001
Today's Open,122.13
Volume,117888.0
Volume 10-day Avg,362735.0
Volume Past Day,(Light)
