,GT
Price/Earnings (TTM),3.80179
Price/Sales (TTM),0.15797
Price/Book (MRQ),0.63611
Price/Cash Flow (TTM),1.77117
5yr Low,4.09
5yr High,36.07
5yr Avg Return,-0.06528333333333332
EPS Growth 5yr,-0.0944242
Revenue Growth 5yr,0.0288924
Dividend Growth 5yr,
Short Int Current Month,13101770.0
Short Int Prev Month,15280679.0
Short Int Pct of Float,0.0465274
Days to Cover,1.77873
Float,281.6977
Shares Outstanding,282.861
Institutions Holding Shares,501.0
% Held by Institutions,0.7850109999999999
FCF Growth 5yr,-0.017619856253359416
