,RRX
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.8720720720720723
Growth 1yr High Est,0.8794326241134751
Growth 1yr Consensus Est,0.8757523480927737
Growth 2yr Low Est,0.4312237164980187
Growth 2yr High Est,0.48688612337749226
Growth 2yr Consensus Est,0.4590549199377555
Growth 5yr Low Est,0.21973273736988846
Growth 5yr High Est,0.24658489292752528
Growth 5yr Consensus Est,0.23315881514870687
Growth 5yr Actual/Est,0.21426174010698684
Growth 3yr Historic,0.17132931152591918
