,RRX
% Above Low,0.1653
% Held by Institutions,1.0215
52-Wk Range,['108.28 - 176.91']
Annual Dividend $,1.4
Annual Dividend %,0.0108
Ask,126.26
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,126.1
Bid Size,100.0
Day Change $,-3.64
Day Change %,-0.027999999999999997
Day High,128.37
Day Low,126.09
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",5.69
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.375
Last (size),100.0
Last (time),1:13p ET 11/28/22
Market Cap,8.3B
"P/E Ratio (TTM, GAAP)",22.81
Prev Close,129.82
Price,126.18
Shares Outstanding,66.2M
Short Interest,0.0165
Today's Open,128.37
Volume Past Day,(Light)
