,RRX
Price/Earnings (TTM),22.81314
Price/Sales (TTM),1.65474
Price/Book (MRQ),1.3976
Price/Cash Flow (TTM),12.31749
5yr Low,51.99
5yr High,176.91
5yr Avg Return,0.11485
EPS Growth 5yr,-0.005348
Revenue Growth 5yr,0.0339496
Dividend Growth 5yr,0.0603483
Short Int Current Month,1086744.0
Short Int Prev Month,989548.0
Short Int Pct of Float,0.016493999999999998
Days to Cover,1.14606
Float,65.97078
Shares Outstanding,66.15124
Institutions Holding Shares,526.0
% Held by Institutions,1.021464
FCF Growth 5yr,-1.4243718359304296
