,DCPH
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.517304189435337
Growth 1yr High Est,-0.40049140049140053
Growth 1yr Consensus Est,-0.45889779496336874
Growth 2yr Low Est,-0.24921813245351754
Growth 2yr High Est,-0.3498358641801265
Growth 2yr Consensus Est,-0.29952699831682206
Growth 5yr Low Est,-0.13420929389116734
Growth 5yr High Est,-0.2809432076990317
Growth 5yr Consensus Est,-0.20757625079509953
Growth 5yr Actual/Est,-0.12085736649945678
Growth 3yr Historic,0.036615548416019106
