,DCPH
Price/Earnings (TTM),
Price/Sales (TTM),8.83162
Price/Book (MRQ),2.87379
Price/Cash Flow (TTM),
5yr Low,6.51
5yr High,71.11
5yr Avg Return,0.2818166666666666
Short Int Current Month,7336159.0
Short Int Prev Month,7173938.0
Short Int Pct of Float,0.149379
Days to Cover,13.18611
Float,49.10845
Shares Outstanding,67.57605
Institutions Holding Shares,210.0
% Held by Institutions,0.680518
FCF Growth 5yr,0.10681093020662524
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
