,SRCL
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.06542056074766356
Growth 1yr High Est,-0.12295081967213106
Growth 1yr Consensus Est,-0.09418569020989731
Growth 2yr Low Est,0.042289719626168176
Growth 2yr High Est,0.04366477707982225
Growth 2yr Consensus Est,0.04297724835299521
Growth 5yr Low Est,-0.01905121861828843
Growth 5yr High Est,-0.0014947200813151262
Growth 5yr Consensus Est,-0.010272969349801778
Growth 5yr Actual/Est,-0.013415155522092465
Growth 3yr Historic,-0.04440251572327045
