,SRCL
% Below High,0.1726
% Held by Institutions,1.0265
52-Wk Range,['39.63 - 61.27']
Annual Dividend $,
Annual Dividend %,
Ask,50.69
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,50.64
Bid Size,200.0
Day Change $,-0.68
Day Change %,-0.0132
Day High,51.47
Day Low,50.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.11
Ex-dividend Date,No dividend
Historical Volatility,0.322
Last (size),100.0
Last (time),3:12p ET 11/28/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",449.0
Prev Close,51.37
Price,50.69
Shares Outstanding,92.2M
Short Interest,0.0189
Today's Open,51.1
Volume Past Day,(Light)
