,SRCL
Price/Earnings (TTM),448.9992
Price/Sales (TTM),1.75936
Price/Book (MRQ),2.0394
Price/Cash Flow (TTM),19.35228
5yr Low,34.36
5yr High,79.97
5yr Avg Return,0.025983333333333324
EPS Growth 5yr,
Revenue Growth 5yr,-0.0576735
Dividend Growth 5yr,
Short Int Current Month,1734399.0
Short Int Prev Month,1882138.0
Short Int Pct of Float,0.0188542
Days to Cover,3.4881
Float,92.02631
Shares Outstanding,92.18422
Institutions Holding Shares,417.0
% Held by Institutions,1.026486
FCF Growth 5yr,-0.5132171466068134
