,BRKL
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.007042253521126751
Growth 1yr High Est,0.006896551724137945
Growth 1yr Consensus Est,0.006969402622632348
Growth 2yr Low Est,0.06296168620112286
Growth 2yr High Est,0.09933868682097313
Growth 2yr Consensus Est,0.081150186511048
Growth 5yr Low Est,0.1101845468042651
Growth 5yr High Est,0.12624591998706308
Growth 5yr Consensus Est,0.11821523339566409
Growth 5yr Actual/Est,0.27805720760073505
Growth 3yr Historic,0.24519374068554395
