,BRKL
% Above Low,0.23870000000000002
% Held by Institutions,0.8427
52-Wk Range,['11.59 - 17.74']
Annual Dividend $,0.54
Annual Dividend %,0.037599999999999995
Ask,17.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,13.34
Bid Size,200.0
Closing Price,14.35
Day Change $,0.22
Day Change %,0.015600000000000001
Day High,14.36
Day Low,14.2
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",1.4
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.25
Last (size),36.0
Last (time),12:59p ET 11/25/22
Market Cap,1.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.25
Prev Close,14.13
Shares Outstanding,76.8M
Short Interest,0.0297
Today's Open,14.26
Volume,217678.0
Volume 10-day Avg,419337.0
Volume Past Day,(Light)
