,TTD
% Above Low,0.25670000000000004
% Held by Institutions,0.7537
52-Wk Range,['39.00 - 110.87']
Annual Dividend $,
Annual Dividend %,
Ask,49.18
Ask Size,1000.0
B/A Ratio,0.9
B/A Size,900x1000
Beta,1.7
Bid,49.01
Bid Size,900.0
Closing Price,49.01
Day Change $,-0.38
Day Change %,-0.0077
Day High,49.31
Day Low,48.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.02
Ex-dividend Date,No dividend
Historical Volatility,0.8520000000000001
Last (size),5.0
Last (time),3:59p ET 11/28/22
Market Cap,24.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,49.39
Shares Outstanding,489.5M
Short Interest,0.0351
Today's Open,48.57
Volume,3045005.0
Volume 10-day Avg,4476391.0
Volume Past Day,(Light)
