,TTD
Price/Earnings (TTM),
Price/Sales (TTM),16.30652
Price/Book (MRQ),12.62826
Price/Cash Flow (TTM),603.3981
5yr Low,4.07
5yr High,114.09
5yr Avg Return,0.7482166666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.4259773
Dividend Growth 5yr,
Short Int Current Month,15466240.0
Short Int Prev Month,15385252.0
Short Int Pct of Float,0.0350564
Days to Cover,1.73199
Float,441.1736
Shares Outstanding,489.5111
Institutions Holding Shares,970.0
% Held by Institutions,0.75372
FCF Growth 5yr,0.18749005265662022
